total words: 79019
the, count: 5621
adventures, count: 7
sherlock, count: 98
holmes, count: 453
sir, count: 74
arthur, count: 18
conan, count: 2
doyle, count: 2
scandal, count: 13
bohemia, count: 12
redheaded, count: 20
league, count: 17
iii, count: 3
case, count: 110
identity, count: 4
boscombe, count: 16
valley, count: 7
mystery, count: 20
five, count: 36
orange, count: 11
pips, count: 12
man, count: 288
with, count: 830
twisted, count: 10
lip, count: 12
vii, count: 2
adventure, count: 25
blue, count: 24
carbuncle, count: 6
viii, count: 2
speckled, count: 5
band, count: 10
engineers, count: 3
thumb, count: 16
noble, count: 14
bachelor, count: 8
beryl, count: 4
coronet, count: 28
xii, count: 2
copper, count: 13
beeches, count: 12
she, count: 425
always, count: 58
woman, count: 58
have, count: 922
seldom, count: 6
heard, count: 113
him, count: 429
mention, count: 2
her, count: 428
under, count: 42
any, count: 128
other, count: 147
name, count: 62
his, count: 1159
eyes, count: 87
eclipses, count: 1
and, count: 3000
predominates, count: 1
whole, count: 45
sex, count: 1
was, count: 1407
not, count: 635
that, count: 1734
felt, count: 32
emotion, count: 5
akin, count: 3
love, count: 18
for, count: 725
irene, count: 16
adler, count: 16
all, count: 385
emotions, count: 1
one, count: 369
particularly, count: 6
were, count: 349
abhorrent, count: 1
cold, count: 21
precise, count: 3
but, count: 647
admirably, count: 4
balanced, count: 1
mind, count: 58
take, count: 79
most, count: 89
perfect, count: 7
reasoning, count: 11
observing, count: 4
machine, count: 15
world, count: 14
has, count: 284
seen, count: 72
lover, count: 7
would, count: 327
placed, count: 19
himself, count: 73
false, count: 4
position, count: 22
never, count: 106
spoke, count: 27
softer, count: 1
passions, count: 1
save, count: 37
gibe, count: 1
sneer, count: 5
they, count: 199
admirable, count: 3
things, count: 27
observerexcellent, count: 1
drawing, count: 6
veil, count: 8
from, count: 496
mens, count: 2
motives, count: 3
actions, count: 4
trained, count: 4
reasoner, count: 6
admit, count: 2
such, count: 111
intrusions, count: 1
into, count: 275
own, count: 101
delicate, count: 7
finely, count: 1
adjusted, count: 2
temperament, count: 1
introduce, count: 4
distracting, count: 1
factor, count: 3
which, count: 769
might, count: 126
throw, count: 11
doubt, count: 64
upon, count: 464
mental, count: 1
results, count: 12
grit, count: 1
sensitive, count: 1
instrument, count: 2
crack, count: 3
highpower, count: 1
lenses, count: 1
more, count: 174
disturbing, count: 1
than, count: 157
strong, count: 33
nature, count: 24
yet, count: 87
there, count: 499
late, count: 24
dubious, count: 1
questionable, count: 2
memory, count: 10
had, count: 829
little, count: 269
lately, count: 7
marriage, count: 26
drifted, count: 2
away, count: 106
each, count: 32
complete, count: 12
happiness, count: 3
homecentred, count: 1
interests, count: 4
rise, count: 5
around, count: 3
who, count: 271
first, count: 86
finds, count: 4
master, count: 10
establishment, count: 1
sufficient, count: 6
absorb, count: 1
attention, count: 24
while, count: 66
loathed, count: 1
every, count: 81
form, count: 9
society, count: 14
bohemian, count: 4
soul, count: 9
remained, count: 18
our, count: 208
lodgings, count: 8
baker, count: 42
street, count: 82
buried, count: 6
among, count: 35
old, count: 68
books, count: 9
alternating, count: 1
week, count: 25
between, count: 60
cocaine, count: 3
ambition, count: 1
drowsiness, count: 1
drug, count: 4
fierce, count: 6
energy, count: 7
keen, count: 11
still, count: 80
ever, count: 70
deeply, count: 12
attracted, count: 5
study, count: 10
crime, count: 32
occupied, count: 1
immense, count: 10
faculties, count: 2
extraordinary, count: 19
powers, count: 6
observation, count: 6
following, count: 12
out, count: 315
those, count: 66
clues, count: 3
clearing, count: 8
mysteries, count: 3
been, count: 392
abandoned, count: 3
hopeless, count: 2
official, count: 11
police, count: 42
time, count: 149
some, count: 244
vague, count: 10
account, count: 20
doings, count: 2
summons, count: 2
odessa, count: 1
trepoff, count: 1
murder, count: 7
singular, count: 33
tragedy, count: 6
atkinson, count: 1
brothers, count: 1
trincomalee, count: 1
finally, count: 19
mission, count: 3
accomplished, count: 2
delicately, count: 1
successfully, count: 1
reigning, count: 3
family, count: 30
holland, count: 2
beyond, count: 11
these, count: 80
signs, count: 13
activity, count: 1
however, count: 107
merely, count: 10
shared, count: 1
readers, count: 1
daily, count: 3
press, count: 10
knew, count: 57
former, count: 3
friend, count: 69
companion, count: 30
nightit, count: 2
twentieth, count: 2
march, count: 5
returning, count: 11
journey, count: 9
patient, count: 7
now, count: 226
returned, count: 36
civil, count: 3
practice, count: 12
when, count: 322
way, count: 114
led, count: 25
through, count: 91
passed, count: 41
wellremembered, count: 1
door, count: 140
must, count: 161
associated, count: 4
wooing, count: 2
dark, count: 37
incidents, count: 5
scarlet, count: 3
seized, count: 10
desire, count: 6
see, count: 227
again, count: 65
know, count: 169
how, count: 140
employing, count: 2
rooms, count: 27
brilliantly, count: 2
lit, count: 13
even, count: 70
looked, count: 51
saw, count: 89
tall, count: 12
spare, count: 8
figure, count: 19
pass, count: 14
twice, count: 16
silhouette, count: 1
against, count: 52
blind, count: 4
pacing, count: 3
room, count: 133
swiftly, count: 14
eagerly, count: 4
head, count: 67
sunk, count: 9
chest, count: 6
hands, count: 72
clasped, count: 1
behind, count: 50
mood, count: 2
habit, count: 8
attitude, count: 2
manner, count: 28
told, count: 50
their, count: 97
story, count: 33
work, count: 42
risen, count: 4
drugcreated, count: 1
dreams, count: 2
hot, count: 9
scent, count: 6
new, count: 30
problem, count: 20
rang, count: 4
bell, count: 14
shown, count: 20
chamber, count: 16
formerly, count: 4
part, count: 32
effusive, count: 1
glad, count: 18
think, count: 174
hardly, count: 50
word, count: 40
spoken, count: 12
kindly, count: 16
eye, count: 24
waved, count: 4
armchair, count: 15
threw, count: 29
across, count: 37
cigars, count: 5
indicated, count: 5
spirit, count: 1
gasogene, count: 1
corner, count: 32
then, count: 363
stood, count: 35
before, count: 162
fire, count: 41
over, count: 177
introspective, count: 3
fashion, count: 20
wedlock, count: 1
suits, count: 2
you, count: 1469
remarked, count: 64
watson, count: 81
put, count: 69
seven, count: 27
half, count: 39
pounds, count: 41
since, count: 39
seven!, count: 1
answered, count: 56
indeed, count: 52
should, count: 210
thought, count: 77
just, count: 125
trifle, count: 4
fancy, count: 15
observe, count: 19
did, count: 153
tell, count: 98
intended, count: 1
harness, count: 2
deduce, count: 13
getting, count: 8
yourself, count: 41
very, count: 400
wet, count: 4
clumsy, count: 1
careless, count: 1
servant, count: 5
girl, count: 21
dear, count: 55
said, count: 486
this, count: 484
too, count: 80
much, count: 120
certainly, count: 45
burned, count: 5
lived, count: 12
few, count: 76
centuries, count: 1
ago, count: 27
true, count: 29
country, count: 30
walk, count: 15
thursday, count: 2
came, count: 146
home, count: 46
dreadful, count: 17
mess, count: 1
changed, count: 5
clothes, count: 18
cant, count: 12
imagine, count: 29
mary, count: 20
jane, count: 1
incorrigible, count: 1
wife, count: 52
given, count: 32
notice, count: 7
fail, count: 6
chuckled, count: 7
rubbed, count: 3
long, count: 87
nervous, count: 9
together, count: 34
simplicity, count: 1
itself, count: 18
inside, count: 13
your, count: 395
left, count: 84
shoe, count: 1
where, count: 120
firelight, count: 1
strikes, count: 3
leather, count: 4
scored, count: 2
six, count: 24
almost, count: 18
parallel, count: 3
cuts, count: 2
obviously, count: 5
caused, count: 15
someone, count: 19
carelessly, count: 3
scraped, count: 2
round, count: 81
edges, count: 3
sole, count: 4
order, count: 21
remove, count: 5
crusted, count: 1
mud, count: 3
hence, count: 5
double, count: 12
deduction, count: 5
vile, count: 4
weather, count: 6
malignant, count: 1
bootslitting, count: 1
specimen, count: 2
london, count: 39
slavey, count: 1
gentleman, count: 42
walks, count: 3
smelling, count: 1
iodoform, count: 1
black, count: 49
mark, count: 8
nitrate, count: 1
silver, count: 3
right, count: 93
forefinger, count: 4
bulge, count: 1
side, count: 79
tophat, count: 4
show, count: 16
secreted, count: 1
stethoscope, count: 1
dull, count: 7
pronounce, count: 2
active, count: 2
member, count: 5
medical, count: 9
profession, count: 10
could, count: 286
help, count: 47
laughing, count: 17
ease, count: 2
explained, count: 9
process, count: 5
hear, count: 31
give, count: 60
reasons, count: 8
thing, count: 46
appears, count: 17
ridiculously, count: 1
simple, count: 18
easily, count: 10
myself, count: 76
though, count: 62
successive, count: 3
instance, count: 5
baffled, count: 3
until, count: 75
explain, count: 16
believe, count: 35
are, count: 333
good, count: 105
yours, count: 18
quite, count: 106
lighting, count: 2
cigarette, count: 4
throwing, count: 12
down, count: 229
distinction, count: 1
clear, count: 44
example, count: 13
frequently, count: 10
steps, count: 24
lead, count: 10
hall, count: 19
often, count: 12
well, count: 185
hundreds, count: 2
times, count: 17
many, count: 41
dont, count: 28
so!, count: 4
observed, count: 22
point, count: 43
seventeen, count: 1
because, count: 23
both, count: 46
bytheway, count: 1
interested, count: 11
problems, count: 8
enough, count: 57
chronicle, count: 5
two, count: 143
trifling, count: 4
experiences, count: 2
may, count: 197
sheet, count: 12
thick, count: 13
pinktinted, count: 1
notepaper, count: 3
lying, count: 14
open, count: 63
table, count: 43
last, count: 94
post, count: 9
read, count: 36
aloud, count: 2
note, count: 31
undated, count: 1
without, count: 73
either, count: 33
signature, count: 5
address, count: 25
will, count: 262
call, count: 43
tonight, count: 23
quarter, count: 9
eight, count: 13
oclock, count: 33
desires, count: 2
consult, count: 8
matter, count: 125
deepest, count: 5
moment, count: 34
recent, count: 6
services, count: 4
royal, count: 4
houses, count: 12
europe, count: 6
safely, count: 4
trusted, count: 2
matters, count: 20
importance, count: 16
can, count: 168
exaggerated, count: 2
quarters, count: 4
received, count: 14
hour, count: 32
amiss, count: 2
visitor, count: 26
wear, count: 9
mask, count: 5
what, count: 380
means, count: 19
data, count: 7
capital, count: 5
mistake, count: 5
theorize, count: 1
insensibly, count: 1
begins, count: 1
twist, count: 4
facts, count: 35
suit, count: 10
theories, count: 7
instead, count: 8
carefully, count: 10
examined, count: 16
writing, count: 11
paper, count: 39
written, count: 20
wrote, count: 14
presumably, count: 3
endeavouring, count: 6
imitate, count: 1
companions, count: 8
processes, count: 1
bought, count: 6
crown, count: 6
packet, count: 2
peculiarly, count: 1
stiff, count: 2
peculiarthat, count: 1
english, count: 9
hold, count: 8
light, count: 73
large, count: 41
small, count: 79
woven, count: 3
texture, count: 1
make, count: 73
asked, count: 88
maker, count: 1
monogram, count: 2
rather, count: 64
stands, count: 6
gesellschaft, count: 1
german, count: 14
company, count: 17
customary, count: 1
contraction, count: 3
like, count: 94
course, count: 57
papier, count: 1
let, count: 68
glance, count: 17
continental, count: 1
gazetteer, count: 1
took, count: 86
heavy, count: 29
brown, count: 16
volume, count: 5
shelves, count: 2
eglow, count: 1
eglonitzhere, count: 1
egria, count: 1
germanspeaking, count: 1
countryin, count: 1
far, count: 54
carlsbad, count: 1
remarkable, count: 21
being, count: 45
scene, count: 14
death, count: 29
wallenstein, count: 1
its, count: 116
numerous, count: 1
glassfactories, count: 1
papermills, count: 1
boy, count: 16
sparkled, count: 2
sent, count: 20
great, count: 60
triumphant, count: 1
cloud, count: 4
made, count: 107
precisely, count: 14
peculiar, count: 19
construction, count: 1
sentencethis, count: 1
frenchman, count: 1
russian, count: 1
uncourteous, count: 1
verbs, count: 1
only, count: 161
remains, count: 7
therefore, count: 15
discover, count: 3
wanted, count: 11
writes, count: 1
prefers, count: 1
wearing, count: 3
showing, count: 7
face, count: 127
here, count: 129
comes, count: 15
mistaken, count: 8
resolve, count: 2
doubts, count: 5
sharp, count: 15
sound, count: 31
horses, count: 7
hoofs, count: 2
grating, count: 2
wheels, count: 7
curb, count: 1
followed, count: 25
pull, count: 2
whistled, count: 2
pair, count: 12
yes, count: 122
continued, count: 14
glancing, count: 23
window, count: 70
nice, count: 7
brougham, count: 4
beauties, count: 1
hundred, count: 18
fifty, count: 9
guineas, count: 3
apiece, count: 4
theres, count: 12
money, count: 42
nothing, count: 108
else, count: 32
better, count: 48
bit, count: 6
doctor, count: 34
stay, count: 8
lost, count: 28
boswell, count: 1
promises, count: 4
interesting, count: 20
pity, count: 8
miss, count: 87
client, count: 31
want, count: 28
sit, count: 17
best, count: 31
slow, count: 6
step, count: 22
stairs, count: 14
passage, count: 22
paused, count: 3
immediately, count: 7
outside, count: 24
loud, count: 3
authoritative, count: 1
tap, count: 3
come, count: 155
in!, count: 3
entered, count: 33
less, count: 38
feet, count: 28
inches, count: 2
height, count: 5
limbs, count: 7
hercules, count: 1
dress, count: 25
rich, count: 11
richness, count: 1
england, count: 19
bad, count: 13
taste, count: 3
bands, count: 2
astrakhan, count: 1
slashed, count: 1
sleeves, count: 5
fronts, count: 1
doublebreasted, count: 1
coat, count: 18
deep, count: 23
cloak, count: 7
thrown, count: 10
shoulders, count: 16
lined, count: 4
flamecoloured, count: 2
silk, count: 5
secured, count: 3
neck, count: 9
brooch, count: 1
consisted, count: 2
single, count: 18
flaming, count: 2
boots, count: 15
extended, count: 4
halfway, count: 2
calves, count: 1
trimmed, count: 1
tops, count: 1
fur, count: 2
completed, count: 4
impression, count: 16
barbaric, count: 1
opulence, count: 1
suggested, count: 9
appearance, count: 16
carried, count: 22
broadbrimmed, count: 3
hat, count: 43
hand, count: 111
wore, count: 8
upper, count: 9
extending, count: 2
past, count: 23
cheekbones, count: 1
vizard, count: 1
apparently, count: 5
raised, count: 11
lower, count: 7
appeared, count: 27
character, count: 19
hanging, count: 7
straight, count: 8
chin, count: 12
suggestive, count: 8
resolution, count: 3
pushed, count: 14
length, count: 4
obstinacy, count: 1
harsh, count: 1
voice, count: 19
strongly, count: 5
marked, count: 10
accent, count: 2
uncertain, count: 4
pray, count: 42
seat, count: 11
colleague, count: 4
occasionally, count: 10
cases, count: 23
whom, count: 39
honour, count: 12
count, count: 4
von, count: 4
kramm, count: 2
nobleman, count: 2
understand, count: 48
discretion, count: 3
trust, count: 16
extreme, count: 9
prefer, count: 7
communicate, count: 5
alone, count: 26
rose, count: 24
caught, count: 20
wrist, count: 9
back, count: 138
chair, count: 55
none, count: 32
say, count: 93
anything, count: 51
shrugged, count: 8
broad, count: 13
begin, count: 6
binding, count: 1
absolute, count: 14
secrecy, count: 7
years, count: 64
end, count: 56
present, count: 27
weight, count: 7
influence, count: 11
european, count: 1
history, count: 3
promise, count: 14
excuse, count: 15
strange, count: 45
august, count: 1
person, count: 22
employs, count: 1
wishes, count: 5
agent, count: 8
unknown, count: 5
confess, count: 16
once, count: 86
title, count: 2
called, count: 26
exactly, count: 8
aware, count: 10
dryly, count: 1
circumstances, count: 9
delicacy, count: 5
precaution, count: 5
taken, count: 28
quench, count: 1
grow, count: 2
seriously, count: 5
compromise, count: 1
families, count: 5
speak, count: 20
plainly, count: 8
implicates, count: 1
house, count: 112
ormstein, count: 2
hereditary, count: 4
kings, count: 2
also, count: 51
murmured, count: 6
settling, count: 2
closing, count: 6
glanced, count: 22
apparent, count: 1
surprise, count: 16
languid, count: 2
lounging, count: 5
depicted, count: 1
incisive, count: 3
energetic, count: 4
slowly, count: 19
reopened, count: 1
impatiently, count: 3
gigantic, count: 4
majesty, count: 16
condescend, count: 2
state, count: 12
able, count: 31
advise, count: 7
sprang, count: 23
paced, count: 7
uncontrollable, count: 3
agitation, count: 5
gesture, count: 5
desperation, count: 1
tore, count: 5
hurled, count: 3
ground, count: 21
cried, count: 69
king, count: 25
why, count: 76
attempt, count: 10
conceal, count: 5
addressing, count: 2
wilhelm, count: 1
gottsreich, count: 1
sigismond, count: 1
grand, count: 2
duke, count: 7
casselfelstein, count: 1
sitting, count: 16
passing, count: 12
high, count: 18
white, count: 26
forehead, count: 7
accustomed, count: 7
doing, count: 21
business, count: 73
confide, count: 2
putting, count: 10
power, count: 12
incognito, count: 1
prague, count: 1
purpose, count: 11
consulting, count: 1
shutting, count: 1
briefly, count: 2
during, count: 38
lengthy, count: 1
visit, count: 10
warsaw, count: 1
acquaintance, count: 11
wellknown, count: 4
adventuress, count: 1
familiar, count: 9
look, count: 73
index, count: 2
opening, count: 11
adopted, count: 2
system, count: 4
docketing, count: 1
paragraphs, count: 1
concerning, count: 1
men, count: 37
difficult, count: 14
subject, count: 12
furnish, count: 1
information, count: 8
found, count: 107
biography, count: 1
sandwiched, count: 2
hebrew, count: 1
rabbi, count: 1
staffcommander, count: 1
monograph, count: 3
deepsea, count: 1
fishes, count: 2
see!, count: 1
hum!, count: 8
born, count: 2
jersey, count: 1
year, count: 25
contraltohum!, count: 1
scala, count: 1
prima, count: 1
donna, count: 1
imperial, count: 1
opera, count: 1
warsawyes!, count: 1
retired, count: 7
operatic, count: 1
stageha!, count: 1
living, count: 9
londonquite, count: 1
became, count: 31
entangled, count: 2
young, count: 81
compromising, count: 2
letters, count: 27
desirous, count: 1
secret, count: 19
legal, count: 4
papers, count: 45
certificates, count: 1
follow, count: 14
produce, count: 3
blackmailing, count: 1
purposes, count: 3
prove, count: 9
authenticity, count: 1
pooh, count: 1
pooh!, count: 2
forgery, count: 2
private, count: 14
stolen, count: 4
seal, count: 2
imitated, count: 1
photograph, count: 23
dear!, count: 1
bad!, count: 1
committed, count: 7
indiscretion, count: 1
madinsane, count: 1
compromised, count: 1
prince, count: 1
thirty, count: 9
recovered, count: 9
tried, count: 13
failed, count: 6
pay, count: 15
sell, count: 5
attempts, count: 5
burglars, count: 1
ransacked, count: 2
diverted, count: 1
luggage, count: 1
travelled, count: 6
waylaid, count: 2
result, count: 14
sign, count: 19
absolutely, count: 27
laughed, count: 20
pretty, count: 12
serious, count: 18
reproachfully, count: 1
does, count: 39
propose, count: 2
ruin, count: 7
about, count: 168
married, count: 24
clotilde, count: 1
lothman, count: 1
saxemeningen, count: 1
second, count: 24
daughter, count: 22
scandinavia, count: 2
strict, count: 2
principles, count: 1
herself, count: 10
shadow, count: 10
conduct, count: 9
bring, count: 23
threatens, count: 2
send, count: 13
them, count: 146
steel, count: 4
beautiful, count: 11
women, count: 8
resolute, count: 3
marry, count: 7
another, count: 42
lengths, count: 1
gonone, count: 1
sure, count: 42
day, count: 85
betrothal, count: 1
publicly, count: 1
proclaimed, count: 1
next, count: 24
monday, count: 14
three, count: 68
days, count: 42
yawn, count: 2
fortunate, count: 8
find, count: 80
langham, count: 1
shall, count: 169
drop, count: 8
line, count: 19
progress, count: 1
anxiety, count: 5
carte, count: 2
blanche, count: 2
provinces, count: 1
kingdom, count: 2
expenses, count: 3
chamois, count: 1
bag, count: 9
laid, count: 32
gold, count: 16
notes, count: 9
scribbled, count: 1
receipt, count: 1
notebook, count: 1
handed, count: 5
mademoiselles, count: 1
briony, count: 11
lodge, count: 14
serpentine, count: 6
avenue, count: 6
johns, count: 1
wood, count: 10
question, count: 35
cabinet, count: 2
goodnight, count: 8
soon, count: 39
news, count: 18
added, count: 3
rolled, count: 6
tomorrow, count: 18
afternoon, count: 15
chat, count: 2
landlady, count: 3
informed, count: 4
shortly, count: 9
after, count: 99
morning, count: 99
sat, count: 54
beside, count: 25
intention, count: 10
awaiting, count: 1
already, count: 47
inquiry, count: 12
surrounded, count: 3
grim, count: 2
features, count: 14
crimes, count: 4
recorded, count: 2
exalted, count: 3
station, count: 21
gave, count: 46
apart, count: 2
investigation, count: 12
something, count: 63
masterly, count: 1
grasp, count: 6
situation, count: 13
pleasure, count: 9
quick, count: 23
subtle, count: 5
methods, count: 9
disentangled, count: 1
inextricable, count: 1
invariable, count: 1
success, count: 9
possibility, count: 4
failing, count: 2
ceased, count: 8
enter, count: 5
close, count: 19
four, count: 31
opened, count: 35
drunkenlooking, count: 1
groom, count: 5
illkempt, count: 1
sidewhiskered, count: 1
inflamed, count: 1
disreputable, count: 3
walked, count: 28
friends, count: 24
amazing, count: 1
use, count: 33
disguises, count: 1
certain, count: 15
nod, count: 1
vanished, count: 10
bedroom, count: 18
whence, count: 6
emerged, count: 8
minutes, count: 44
tweedsuited, count: 1
respectable, count: 5
pockets, count: 8
stretched, count: 9
legs, count: 7
front, count: 50
heartily, count: 7
really!, count: 4
choked, count: 4
obliged, count: 6
lie, count: 9
limp, count: 3
helpless, count: 3
funny, count: 7
guess, count: 5
employed, count: 3
ended, count: 4
suppose, count: 19
watching, count: 5
habits, count: 9
perhaps, count: 62
sequel, count: 1
unusual, count: 8
wonderful, count: 4
sympathy, count: 6
freemasonry, count: 2
horsey, count: 1
bijou, count: 1
villa, count: 3
garden, count: 18
built, count: 3
road, count: 32
stories, count: 3
chubb, count: 1
lock, count: 16
sittingroom, count: 15
furnished, count: 8
windows, count: 25
floor, count: 27
preposterous, count: 4
fasteners, count: 1
child, count: 18
reached, count: 19
top, count: 10
coachhouse, count: 1
closely, count: 6
view, count: 15
noting, count: 2
interest, count: 38
lounged, count: 3
expected, count: 13
mews, count: 1
lane, count: 23
runs, count: 5
wall, count: 14
lent, count: 1
ostlers, count: 2
rubbing, count: 4
exchange, count: 2
twopence, count: 2
glass, count: 13
fills, count: 1
shag, count: 4
tobacco, count: 8
dozen, count: 10
people, count: 25
neighbourhood, count: 11
least, count: 36
whose, count: 23
biographies, count: 1
compelled, count: 6
listen, count: 7
turned, count: 51
heads, count: 8
daintiest, count: 1
bonnet, count: 5
planet, count: 1
serpentinemews, count: 2
lives, count: 8
quietly, count: 20
sings, count: 2
concerts, count: 1
drives, count: 2
returns, count: 3
dinner, count: 4
goes, count: 9
except, count: 6
male, count: 3
deal, count: 15
handsome, count: 4
dashing, count: 2
calls, count: 2
godfrey, count: 5
norton, count: 7
inner, count: 5
temple, count: 4
advantages, count: 4
cabman, count: 5
confidant, count: 2
driven, count: 8
listened, count: 18
began, count: 25
near, count: 31
plan, count: 3
